methodology_group,rule_id,rule_name,applies_to,logic_type,rule_logic,parameter_1_name,parameter_1_value,parameter_2_name,parameter_2_value,parameter_3_name,parameter_3_value,example_input,example_output,methodology_note
ladder_adjustment,LADDER_002,duration_monotonicity_fix,same pricing_position_label across durations,ladder_rule,"When a longer duration within the same pricing position label does not exceed the shorter duration price, increase the longer duration by one commercial step.",comparison_scope,same pricing_position_label,commercial_step,10,trigger_condition,longer_duration_price <= shorter_duration_price,60 premium = 99 | 75 premium = 99,75 premium adjusted to 109,This creates a credible price ladder where longer durations do not flatten against shorter ones.
cost_ratio_assumptions,COST_001,material_cost_ratio_assignment,all_treatments,cost_ratio_rule,Material cost ratios are assigned using treatment profile cues. Material-heavy treatments use a higher ratio than labor-led treatments.,material_heavy_ratio,0.18,default_lower_ratio,0.10,trigger_examples,"scrub, wrap, facial, aromatherapy, body_treatment",scrub | massage,0.18 | 0.10,Material-heavy therapies absorb a larger consumable cost share.
cost_ratio_assumptions,COST_002,labor_cost_ratio_assignment,all_treatments,cost_ratio_rule,"Labor cost ratios are higher for labor-and-time led treatments, with an extra uplift for longer sessions.",labor_led_base_ratio,0.30,material_led_base_ratio,0.26,duration_75_plus_uplift,+0.03,massage 60 | hot_stone 75,0.30 | 0.33,Longer therapist time directly increases labor exposure.
cost_ratio_assumptions,COST_003,overhead_cost_ratio_assignment,all_treatments,cost_ratio_rule,"Overhead cost ratio varies by session duration, increasing modestly as treatment time increases.",duration_le_45_ratio,0.12,duration_le_60_ratio,0.14,duration_gt_60_ratio,0.16,45 | 60 | 75,0.12 | 0.14 | 0.16,"This is a proxy assumption, not a direct accounting extraction."
profit_proxy_methodology,PROFIT_001,gross_profit_proxy_formula,all_treatments,formula_rule,Gross profit proxy per treatment equals price minus material cost proxy minus labor cost proxy.,formula,price - material_cost_proxy - labor_cost_proxy,price_basis,menu_recommended_price for final menu sheet,output_column,menu_gross_profit_proxy_per_treatment,89 - 8.90 - 26.70,53.40,Gross profit proxy excludes overhead in this simplified pricing model.
profit_proxy_methodology,PROFIT_002,gross_margin_proxy_formula,all_treatments,formula_rule,Gross margin proxy percent equals gross profit proxy divided by the selected price basis.,formula,gross_profit_proxy / price * 100,price_basis,menu_recommended_price,output_column,menu_gross_margin_proxy_percent,53.40 / 89 * 100,60.0,Gross margin proxy is a simplified economic indicator for menu comparison.
profit_proxy_methodology,PROFIT_003,net_profit_proxy_formula,all_treatments,formula_rule,Net profit proxy per treatment equals price minus material cost proxy minus labor cost proxy minus overhead cost proxy.,formula,price - material_cost_proxy - labor_cost_proxy - overhead_cost_proxy,price_basis,menu_recommended_price,output_column,menu_net_profit_proxy_per_treatment,109 - 10.90 - 35.97 - 17.44,44.69,"Net profit proxy is still a pricing model estimate, not an audited net margin."
profit_proxy_methodology,PROFIT_004,net_margin_proxy_formula,all_treatments,formula_rule,Net margin proxy percent equals net profit proxy divided by the selected price basis.,formula,net_profit_proxy / price * 100,price_basis,menu_recommended_price,output_column,menu_net_margin_proxy_percent,44.69 / 109 * 100,41.0,Used to compare treatment economics after final menu-price harmonization.
menu_price_reconciliation,MENU_001,menu_price_overrides_base_price_when_needed,treatments affected by commercial harmonization,reconciliation_rule,"When ladder harmonization changes the displayed menu price, economics must be recalculated from the menu price rather than reusing base-price economics.",trigger_example_1,deep_tissue: 79 -> 89,trigger_example_2,hot_stone: 99 -> 109,required_action,recompute menu-based cost and profit proxies,price architecture changes final displayed menu price,menu economics refreshed from new price basis,This keeps pricing architecture and profitability analysis on the same basis.
final_output_reference,OUTPUT_001,final_locked_menu_sheet,all_treatments,output_reference,Final locked menu recommendation output is treatment_menu_recommendation_sheet_final_locked.csv.,final_output_file,treatment_menu_recommendation_sheet_final_locked.csv,key_price_points,"69,89,99,109",final_check,all price_point_within_band_flag = True,final review,locked and documented pricing sheet,This methodology CSV documents the logic behind the locked treatment pricing state.
