action_queue_id,month_id,period_start,period_end,outlet_id,outlet_name,action_type,action_theme,management_signal,recommended_action,revenue_impact_direction,team_impact_direction,execution_priority_score,manager_note,action_priority_rank,execution_priority
MAQ_00016,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,18.71184758783174,maintain and monitor treatment line performance within current operating rhythm,16,normal
MAQ_00017,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,18.446347587831742,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",17,normal
MAQ_00018,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,18.08184758783174,treatment line can support commercial push without materially raising team strain,18,normal
MAQ_00019,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.91984758783174,treatment line can support commercial push without materially raising team strain,19,normal
MAQ_00020,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,17.813630784296283,maintain and monitor treatment line performance within current operating rhythm,20,normal
MAQ_00021,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,17.711414799693628,maintain and monitor treatment line performance within current operating rhythm,21,normal
MAQ_00022,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,17.63491479969363,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",22,normal
MAQ_00023,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,17.585414799693627,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",23,normal
MAQ_00024,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.395130784296278,treatment line can support commercial push without materially raising team strain,24,normal
MAQ_00025,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.28713078429628,treatment line can support commercial push without materially raising team strain,25,normal
MAQ_00026,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.20884758783174,treatment line can support commercial push without materially raising team strain,26,normal
MAQ_00027,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.177347587831743,treatment line can support commercial push without materially raising team strain,27,normal
MAQ_00028,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.06341479969363,treatment line can support commercial push without materially raising team strain,28,normal
MAQ_00029,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.85513078429628,treatment line can support commercial push without materially raising team strain,29,normal
MAQ_00030,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.667414799693624,treatment line can support commercial push without materially raising team strain,30,normal
MAQ_00031,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.43791479969363,treatment line can support commercial push without materially raising team strain,31,normal
MAQ_00032,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.35113078429628,treatment line can support commercial push without materially raising team strain,32,normal
MAQ_00033,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.151347587831744,treatment line can support commercial push without materially raising team strain,33,normal
MAQ_00034,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,15.766130784296278,treatment line can support commercial push without materially raising team strain,34,normal
MAQ_00035,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,14.633414799693625,treatment line can support commercial push without materially raising team strain,35,normal
MAQ_00036,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,14.519630784296279,treatment line can support commercial push without materially raising team strain,36,normal
MAQ_00037,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,14.306347587831741,treatment line can support commercial push without materially raising team strain,37,normal
MAQ_00038,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,13.727630784296277,treatment line can support commercial push without materially raising team strain,38,normal
MAQ_00039,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,13.121414799693628,treatment line can support commercial push without materially raising team strain,39,normal
MAQ_00040,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,outlet_management,team_stability,protect_team_stability,"rebalance workload, recovery gaps, and coaching cadence",protective,stabilize,58.50569353751483,team stability protection is needed to sustain service quality and avoid burnout-driven revenue loss,1,high
MAQ_00041,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,46.92345202352941,therapist performance pattern is stable with manageable coaching need,2,normal
MAQ_00042,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,32.05787139408288,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",3,normal
MAQ_00043,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,outlet_management,balanced_control,stable_controlled_growth,maintain balanced commercial and operational control,protective,neutral,30.781628909690227,balanced commercial and operational conditions with manageable managerial control needs,4,normal
MAQ_00044,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,outlet_management,balanced_control,stable_controlled_growth,maintain balanced commercial and operational control,protective,neutral,30.482570744759155,balanced commercial and operational conditions with manageable managerial control needs,5,normal
MAQ_00045,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,28.628871394082882,maintain and monitor treatment line performance within current operating rhythm,6,normal
MAQ_00046,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,26.531871394082877,maintain and monitor treatment line performance within current operating rhythm,7,normal
MAQ_00047,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,25.771371394082877,maintain and monitor treatment line performance within current operating rhythm,8,normal
MAQ_00048,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,25.384371394082876,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",9,normal
MAQ_00049,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,25.132371394082877,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",10,normal
MAQ_00050,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,24.90287139408288,maintain and monitor treatment line performance within current operating rhythm,11,normal
MAQ_00051,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,24.70937139408288,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",12,normal
MAQ_00052,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,23.881371394082876,maintain and monitor treatment line performance within current operating rhythm,13,normal
MAQ_00053,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,23.633300333653384,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",14,normal
MAQ_00054,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,23.372700162396846,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",15,normal
MAQ_00055,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,22.942542894117647,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",16,normal
MAQ_00056,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,22.19664122352941,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",17,normal
MAQ_00057,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,21.484563247058823,therapist performance pattern is stable with manageable coaching need,18,normal
MAQ_00058,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,21.432841717647058,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",19,normal
MAQ_00059,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,21.40187139408288,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",20,normal
MAQ_00060,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,21.257210470588237,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",21,normal
MAQ_00061,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,19.813200162396843,maintain and monitor treatment line performance within current operating rhythm,22,normal
MAQ_00062,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,19.655300333653383,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",23,normal
MAQ_00063,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,18.233300333653382,maintain and monitor treatment line performance within current operating rhythm,24,normal
MAQ_00064,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,18.004200162396845,maintain and monitor treatment line performance within current operating rhythm,25,normal
MAQ_00065,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,17.73830033365338,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",26,normal
MAQ_00066,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.508800333653383,treatment line can support commercial push without materially raising team strain,27,normal
MAQ_00067,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.30180033365338,treatment line can support commercial push without materially raising team strain,28,normal
MAQ_00068,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.03670016239684,treatment line can support commercial push without materially raising team strain,29,normal
MAQ_00069,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.883700162396842,treatment line can support commercial push without materially raising team strain,30,normal
MAQ_00070,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.856700162396848,treatment line can support commercial push without materially raising team strain,31,normal
MAQ_00071,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.838700162396844,treatment line can support commercial push without materially raising team strain,32,normal
MAQ_00072,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.797800333653385,treatment line can support commercial push without materially raising team strain,33,normal
MAQ_00073,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.69020016239684,treatment line can support commercial push without materially raising team strain,34,normal
MAQ_00074,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,16.42880033365338,treatment line can support commercial push without materially raising team strain,35,normal
MAQ_00075,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,15.47930033365338,treatment line can support commercial push without materially raising team strain,36,normal
MAQ_00076,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,14.980200162396844,treatment line can support commercial push without materially raising team strain,37,normal
MAQ_00077,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,13.949700162396843,treatment line can support commercial push without materially raising team strain,38,normal
MAQ_00078,2017-02,2017-02-01,2017-02-28,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,13.77830033365338,treatment line can support commercial push without materially raising team strain,39,normal
MAQ_00079,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_003,St Julians,outlet_management,balanced_control,stable_controlled_growth,maintain balanced commercial and operational control,protective,neutral,30.944768215790038,balanced commercial and operational conditions with manageable managerial control needs,1,normal
MAQ_00080,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_002,Sliema,outlet_management,balanced_control,stable_controlled_growth,maintain balanced commercial and operational control,protective,neutral,30.44306416061596,balanced commercial and operational conditions with manageable managerial control needs,2,normal
MAQ_00081,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,24.434776817131418,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",3,normal
MAQ_00082,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,24.064681236396652,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",4,normal
MAQ_00083,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_002,Sliema,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,23.49524151927046,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",5,normal
MAQ_00084,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_001,Valletta,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,22.42057694117647,therapist performance pattern is stable with manageable coaching need,6,normal
MAQ_00085,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_003,St Julians,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,21.61207178823529,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",7,normal
MAQ_00086,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_003,St Julians,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,21.466139011764703,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",8,normal
MAQ_00087,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_002,Sliema,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,21.008431764705882,therapist performance pattern is stable with manageable coaching need,9,normal
MAQ_00088,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_001,Valletta,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,20.78387955294118,therapist performance pattern is stable with manageable coaching need,10,normal
MAQ_00089,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_003,St Julians,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,20.77068123639665,maintain and monitor treatment line performance within current operating rhythm,11,normal
MAQ_00090,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,20.758276817131417,maintain and monitor treatment line performance within current operating rhythm,12,normal
MAQ_00091,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_002,Sliema,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,20.15947077647059,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",13,normal
MAQ_00092,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_002,Sliema,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,19.859241519270466,maintain and monitor treatment line performance within current operating rhythm,14,normal
MAQ_00093,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,19.32277681713142,maintain and monitor treatment line performance within current operating rhythm,15,normal
MAQ_00094,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,19.048276817131413,maintain and monitor treatment line performance within current operating rhythm,16,normal
MAQ_00095,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_003,St Julians,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,18.844681236396653,maintain and monitor treatment line performance within current operating rhythm,17,normal
MAQ_00096,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,18.700681236396655,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",18,normal
MAQ_00097,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,18.69727681713142,treatment line can support commercial push without materially raising team strain,19,normal
MAQ_00098,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,18.499276817131413,treatment line can support commercial push without materially raising team strain,20,normal
MAQ_00099,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,18.007681236396653,treatment line can support commercial push without materially raising team strain,21,normal
MAQ_00100,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.959276817131418,treatment line can support commercial push without materially raising team strain,22,normal
MAQ_00101,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.64318123639665,treatment line can support commercial push without materially raising team strain,23,normal
MAQ_00102,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.577741519270464,treatment line can support commercial push without materially raising team strain,24,normal
MAQ_00103,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.568741519270464,treatment line can support commercial push without materially raising team strain,25,normal
MAQ_00104,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_001,Valletta,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.468776817131417,treatment line can support commercial push without materially raising team strain,26,normal
MAQ_00105,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.46074151927046,treatment line can support commercial push without materially raising team strain,27,normal
MAQ_00106,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.424741519270462,treatment line can support commercial push without materially raising team strain,28,normal
MAQ_00107,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_003,St Julians,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.148181236396653,treatment line can support commercial push without materially raising team strain,29,normal
MAQ_00108,2017-03,2017-03-01,2017-03-31,MLT_OUTLET_002,Sliema,treatment_opportunity,growth_acceleration,growth_acceleration,expand promotion and conversion support for scalable treatments,upside,neutral,17.100741519270464,treatment line can support commercial push without materially raising team strain,30,normal
