outlet_name,role_name,role_scope_level,minimum_role_headcount,ideal_role_headcount,role_coverage_rationale,coverage_continuity_note,role_mission,guest_journey_stage,primary_operating_scope,core_kpi_link,service_risk_if_missing,coordination_with_therapists,coordination_with_spa_manager,coordination_with_front_of_house,decision_support_note,model_layer_type,model_basis_note
Mellieha Spa,spa assistant manager,outlet_operating_role,1,1,One assistant spa manager per outlet provides a stable execution bridge between spa manager direction and live shift-level operating follow-through.,"One assistant spa manager is treated as sufficient baseline support for escalation handling, floor coordination, and service recovery oversight.","Protect shift-level execution, floor coordination, service recovery oversight, and cross-role discipline between manager intent and frontline delivery.","live service oversight, escalation, service recovery, shift coordination","floor coordination, escalation handling, service recovery oversight, shift control, team follow-through, cross-role alignment",service recovery discipline; floor-execution stability; escalation response quality; cross-role operating consistency,"Higher execution drift, weaker live escalation handling, weaker service recovery discipline, and greater dependence on the spa manager for every operational interruption.","Supports deployment discipline, live floor escalation, service recovery, and adherence to operating standards.",Acts as the execution bridge between management direction and shift-level operating follow-through.,"Aligns front desk flow with floor readiness, escalation handling, and guest recovery priorities.","This role should be interpreted as a shift-control and execution-bridge layer, not as a proxy for unsupported hierarchy assumptions.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
Mellieha Spa,spa manager,outlet_operating_role,1,1,"One spa manager per outlet provides accountable leadership for commercial control, service standards, staffing oversight, escalation ownership, and outlet-level decision making.","One spa manager is treated as the accountable operating lead per outlet, with assistant manager support handling part of live shift coordination.","Provide accountable outlet leadership across commercial control, service standards, people oversight, operating discipline, and management decision follow-through.","full outlet oversight, escalation ownership, management review, operating control","outlet leadership, staffing control, service-standard ownership, management escalation, commercial oversight, operating-discipline enforcement",outlet control stability; service-standard protection; staffing governance; management escalation ownership; operating-discipline continuity,"Higher control drift, weaker accountability, slower escalation ownership, and weaker outlet-level operating discipline.","Owns people oversight, staffing direction, service-standard enforcement, and coaching escalation.",This role is the accountable spa manager ownership layer for the outlet.,"Owns front-of-house performance expectations, service recovery standards, and operating control escalation.","This role should be interpreted as the accountable outlet management layer, not as a synthetic multi-site control abstraction.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
Qawra / St Paul’s Bay Spa,spa receptionist,outlet_operating_role,3,3,"Minimum resilient front-desk coverage requires three receptionists per outlet to protect booking continuity, guest communication, shift rotation, leave coverage, and arrival-flow control.","Three-person receptionist coverage reduces single-point-of-failure risk across off days, sick leave, breaks, and peak guest-contact windows.","Protect front-of-house conversion, booking accuracy, arrival discipline, and guest communication continuity across the spa journey.","pre-arrival, arrival, check-in, rebooking, post-visit follow-up","booking flow, guest contact handling, arrival coordination, reschedule recovery, rebooking support, front desk commercial continuity",booking conversion support; cancellation recovery discipline; no-show containment support; rebooking continuity; arrival-flow stability,"Higher booking leakage risk, weaker arrival control, reduced rebooking continuity, and weaker guest communication consistency.","Coordinates arrival timing, booking accuracy, therapist assignment clarity, and guest handoff discipline.","Escalates booking friction, guest complaints, flow congestion, and recurring front-desk control gaps.",Acts as primary front-of-house operating anchor for guest communication and booking continuity.,"This role should be interpreted as a control and conversion support layer, not as a synthetic demand-forecasting or hour-level deployment model.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
Qawra / St Paul’s Bay Spa,spa attendant,outlet_operating_role,3,3,"Minimum resilient floor-support coverage requires three spa attendants per outlet to protect room readiness, turnaround continuity, hygiene support, amenity coverage, and treatment-environment stability.","Three-person attendant coverage reduces service-delay and room-readiness risk across off days, sick leave, breaks, and turnover peaks.","Protect service-environment readiness, room turnaround reliability, amenity completeness, and floor-support continuity.","pre-service, treatment setup, between-service turnaround, recovery/reset","room readiness, linen and amenity readiness, hygiene support, turnaround speed, on-floor service support, treatment-environment consistency",room-readiness continuity; service-delay containment support; turnaround discipline; environment consistency protection,"Higher room-delay risk, weaker service environment consistency, slower reset between appointments, and greater strain on therapist focus.","Supports treatment-room readiness, reset discipline, and smooth handoff into therapist-led service delivery.","Escalates repeated room-readiness failures, amenity shortages, hygiene issues, and turnover bottlenecks.",Supports desk-to-floor readiness visibility so guest arrival timing matches room readiness.,"This role should be interpreted as an operating-readiness support layer, not as a pseudo-granular room scheduling engine.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
Qawra / St Paul’s Bay Spa,spa assistant manager,outlet_operating_role,1,1,One assistant spa manager per outlet provides a stable execution bridge between spa manager direction and live shift-level operating follow-through.,"One assistant spa manager is treated as sufficient baseline support for escalation handling, floor coordination, and service recovery oversight.","Protect shift-level execution, floor coordination, service recovery oversight, and cross-role discipline between manager intent and frontline delivery.","live service oversight, escalation, service recovery, shift coordination","floor coordination, escalation handling, service recovery oversight, shift control, team follow-through, cross-role alignment",service recovery discipline; floor-execution stability; escalation response quality; cross-role operating consistency,"Higher execution drift, weaker live escalation handling, weaker service recovery discipline, and greater dependence on the spa manager for every operational interruption.","Supports deployment discipline, live floor escalation, service recovery, and adherence to operating standards.",Acts as the execution bridge between management direction and shift-level operating follow-through.,"Aligns front desk flow with floor readiness, escalation handling, and guest recovery priorities.","This role should be interpreted as a shift-control and execution-bridge layer, not as a proxy for unsupported hierarchy assumptions.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
Qawra / St Paul’s Bay Spa,spa manager,outlet_operating_role,1,1,"One spa manager per outlet provides accountable leadership for commercial control, service standards, staffing oversight, escalation ownership, and outlet-level decision making.","One spa manager is treated as the accountable operating lead per outlet, with assistant manager support handling part of live shift coordination.","Provide accountable outlet leadership across commercial control, service standards, people oversight, operating discipline, and management decision follow-through.","full outlet oversight, escalation ownership, management review, operating control","outlet leadership, staffing control, service-standard ownership, management escalation, commercial oversight, operating-discipline enforcement",outlet control stability; service-standard protection; staffing governance; management escalation ownership; operating-discipline continuity,"Higher control drift, weaker accountability, slower escalation ownership, and weaker outlet-level operating discipline.","Owns people oversight, staffing direction, service-standard enforcement, and coaching escalation.",This role is the accountable spa manager ownership layer for the outlet.,"Owns front-of-house performance expectations, service recovery standards, and operating control escalation.","This role should be interpreted as the accountable outlet management layer, not as a synthetic multi-site control abstraction.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
Sliema / Balluta Spa,spa receptionist,outlet_operating_role,3,3,"Minimum resilient front-desk coverage requires three receptionists per outlet to protect booking continuity, guest communication, shift rotation, leave coverage, and arrival-flow control.","Three-person receptionist coverage reduces single-point-of-failure risk across off days, sick leave, breaks, and peak guest-contact windows.","Protect front-of-house conversion, booking accuracy, arrival discipline, and guest communication continuity across the spa journey.","pre-arrival, arrival, check-in, rebooking, post-visit follow-up","booking flow, guest contact handling, arrival coordination, reschedule recovery, rebooking support, front desk commercial continuity",booking conversion support; cancellation recovery discipline; no-show containment support; rebooking continuity; arrival-flow stability,"Higher booking leakage risk, weaker arrival control, reduced rebooking continuity, and weaker guest communication consistency.","Coordinates arrival timing, booking accuracy, therapist assignment clarity, and guest handoff discipline.","Escalates booking friction, guest complaints, flow congestion, and recurring front-desk control gaps.",Acts as primary front-of-house operating anchor for guest communication and booking continuity.,"This role should be interpreted as a control and conversion support layer, not as a synthetic demand-forecasting or hour-level deployment model.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
Sliema / Balluta Spa,spa attendant,outlet_operating_role,3,3,"Minimum resilient floor-support coverage requires three spa attendants per outlet to protect room readiness, turnaround continuity, hygiene support, amenity coverage, and treatment-environment stability.","Three-person attendant coverage reduces service-delay and room-readiness risk across off days, sick leave, breaks, and turnover peaks.","Protect service-environment readiness, room turnaround reliability, amenity completeness, and floor-support continuity.","pre-service, treatment setup, between-service turnaround, recovery/reset","room readiness, linen and amenity readiness, hygiene support, turnaround speed, on-floor service support, treatment-environment consistency",room-readiness continuity; service-delay containment support; turnaround discipline; environment consistency protection,"Higher room-delay risk, weaker service environment consistency, slower reset between appointments, and greater strain on therapist focus.","Supports treatment-room readiness, reset discipline, and smooth handoff into therapist-led service delivery.","Escalates repeated room-readiness failures, amenity shortages, hygiene issues, and turnover bottlenecks.",Supports desk-to-floor readiness visibility so guest arrival timing matches room readiness.,"This role should be interpreted as an operating-readiness support layer, not as a pseudo-granular room scheduling engine.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
Sliema / Balluta Spa,spa assistant manager,outlet_operating_role,1,1,One assistant spa manager per outlet provides a stable execution bridge between spa manager direction and live shift-level operating follow-through.,"One assistant spa manager is treated as sufficient baseline support for escalation handling, floor coordination, and service recovery oversight.","Protect shift-level execution, floor coordination, service recovery oversight, and cross-role discipline between manager intent and frontline delivery.","live service oversight, escalation, service recovery, shift coordination","floor coordination, escalation handling, service recovery oversight, shift control, team follow-through, cross-role alignment",service recovery discipline; floor-execution stability; escalation response quality; cross-role operating consistency,"Higher execution drift, weaker live escalation handling, weaker service recovery discipline, and greater dependence on the spa manager for every operational interruption.","Supports deployment discipline, live floor escalation, service recovery, and adherence to operating standards.",Acts as the execution bridge between management direction and shift-level operating follow-through.,"Aligns front desk flow with floor readiness, escalation handling, and guest recovery priorities.","This role should be interpreted as a shift-control and execution-bridge layer, not as a proxy for unsupported hierarchy assumptions.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
Sliema / Balluta Spa,spa manager,outlet_operating_role,1,1,"One spa manager per outlet provides accountable leadership for commercial control, service standards, staffing oversight, escalation ownership, and outlet-level decision making.","One spa manager is treated as the accountable operating lead per outlet, with assistant manager support handling part of live shift coordination.","Provide accountable outlet leadership across commercial control, service standards, people oversight, operating discipline, and management decision follow-through.","full outlet oversight, escalation ownership, management review, operating control","outlet leadership, staffing control, service-standard ownership, management escalation, commercial oversight, operating-discipline enforcement",outlet control stability; service-standard protection; staffing governance; management escalation ownership; operating-discipline continuity,"Higher control drift, weaker accountability, slower escalation ownership, and weaker outlet-level operating discipline.","Owns people oversight, staffing direction, service-standard enforcement, and coaching escalation.",This role is the accountable spa manager ownership layer for the outlet.,"Owns front-of-house performance expectations, service recovery standards, and operating control escalation.","This role should be interpreted as the accountable outlet management layer, not as a synthetic multi-site control abstraction.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
St Julian’s / Paceville Spa,spa receptionist,outlet_operating_role,3,3,"Minimum resilient front-desk coverage requires three receptionists per outlet to protect booking continuity, guest communication, shift rotation, leave coverage, and arrival-flow control.","Three-person receptionist coverage reduces single-point-of-failure risk across off days, sick leave, breaks, and peak guest-contact windows.","Protect front-of-house conversion, booking accuracy, arrival discipline, and guest communication continuity across the spa journey.","pre-arrival, arrival, check-in, rebooking, post-visit follow-up","booking flow, guest contact handling, arrival coordination, reschedule recovery, rebooking support, front desk commercial continuity",booking conversion support; cancellation recovery discipline; no-show containment support; rebooking continuity; arrival-flow stability,"Higher booking leakage risk, weaker arrival control, reduced rebooking continuity, and weaker guest communication consistency.","Coordinates arrival timing, booking accuracy, therapist assignment clarity, and guest handoff discipline.","Escalates booking friction, guest complaints, flow congestion, and recurring front-desk control gaps.",Acts as primary front-of-house operating anchor for guest communication and booking continuity.,"This role should be interpreted as a control and conversion support layer, not as a synthetic demand-forecasting or hour-level deployment model.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
St Julian’s / Paceville Spa,spa attendant,outlet_operating_role,3,3,"Minimum resilient floor-support coverage requires three spa attendants per outlet to protect room readiness, turnaround continuity, hygiene support, amenity coverage, and treatment-environment stability.","Three-person attendant coverage reduces service-delay and room-readiness risk across off days, sick leave, breaks, and turnover peaks.","Protect service-environment readiness, room turnaround reliability, amenity completeness, and floor-support continuity.","pre-service, treatment setup, between-service turnaround, recovery/reset","room readiness, linen and amenity readiness, hygiene support, turnaround speed, on-floor service support, treatment-environment consistency",room-readiness continuity; service-delay containment support; turnaround discipline; environment consistency protection,"Higher room-delay risk, weaker service environment consistency, slower reset between appointments, and greater strain on therapist focus.","Supports treatment-room readiness, reset discipline, and smooth handoff into therapist-led service delivery.","Escalates repeated room-readiness failures, amenity shortages, hygiene issues, and turnover bottlenecks.",Supports desk-to-floor readiness visibility so guest arrival timing matches room readiness.,"This role should be interpreted as an operating-readiness support layer, not as a pseudo-granular room scheduling engine.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
St Julian’s / Paceville Spa,spa assistant manager,outlet_operating_role,1,1,One assistant spa manager per outlet provides a stable execution bridge between spa manager direction and live shift-level operating follow-through.,"One assistant spa manager is treated as sufficient baseline support for escalation handling, floor coordination, and service recovery oversight.","Protect shift-level execution, floor coordination, service recovery oversight, and cross-role discipline between manager intent and frontline delivery.","live service oversight, escalation, service recovery, shift coordination","floor coordination, escalation handling, service recovery oversight, shift control, team follow-through, cross-role alignment",service recovery discipline; floor-execution stability; escalation response quality; cross-role operating consistency,"Higher execution drift, weaker live escalation handling, weaker service recovery discipline, and greater dependence on the spa manager for every operational interruption.","Supports deployment discipline, live floor escalation, service recovery, and adherence to operating standards.",Acts as the execution bridge between management direction and shift-level operating follow-through.,"Aligns front desk flow with floor readiness, escalation handling, and guest recovery priorities.","This role should be interpreted as a shift-control and execution-bridge layer, not as a proxy for unsupported hierarchy assumptions.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
St Julian’s / Paceville Spa,spa manager,outlet_operating_role,1,1,"One spa manager per outlet provides accountable leadership for commercial control, service standards, staffing oversight, escalation ownership, and outlet-level decision making.","One spa manager is treated as the accountable operating lead per outlet, with assistant manager support handling part of live shift coordination.","Provide accountable outlet leadership across commercial control, service standards, people oversight, operating discipline, and management decision follow-through.","full outlet oversight, escalation ownership, management review, operating control","outlet leadership, staffing control, service-standard ownership, management escalation, commercial oversight, operating-discipline enforcement",outlet control stability; service-standard protection; staffing governance; management escalation ownership; operating-discipline continuity,"Higher control drift, weaker accountability, slower escalation ownership, and weaker outlet-level operating discipline.","Owns people oversight, staffing direction, service-standard enforcement, and coaching escalation.",This role is the accountable spa manager ownership layer for the outlet.,"Owns front-of-house performance expectations, service recovery standards, and operating control escalation.","This role should be interpreted as the accountable outlet management layer, not as a synthetic multi-site control abstraction.",operating_role_management_layer,This outlet operating role framework extends the Malta portfolio management layer with non-therapist operating-role interpretation and baseline staffing-quantity guidance under controlled assumptions. It does not infer unsupported hour-level staffing deployment or synthetic intra-day logic.
