outlet_name_final,address_raw,opening_hours_raw,treatment_examples_raw,price_eur_min,price_eur_max,price_eur_raw,rating,review_count,treatment_room_count,hotel_room_count,facilities_raw,capacity_note_raw,contact_raw,enrich_source_urls,location_text,source_name,source_url,outlet_name_final_v2,name_valid_flag,name_address_flag,name_generic_flag,dedupe_key,outlet_name
InterContinental Malta,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | salt room,,+356 27802062 | carismawellness@gmail.com,https://www.carismaspa.com/carisma-spa-locations-in-malta,intercontinental hotel - st. julian's,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,InterContinental Malta,True,False,False,intercontinental,intercontinental hotel - st. julian's
Malta Marriott Resort & Spa,"Biologique Recherche Face & Body Treatments Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | 66 St. Paul's & Spa | PAYMENT All bookings must be prepaid at the time of making the reservation. All reservations are pre-charged to your credit or debit card. We accept cash, cheques and all major credit cards. | All bookings must be prepaid at the time of making the reservation. All reservations are pre-charged to your credit or debit card. We accept cash, cheques and all major credit cards.",Start Week Escapes Best seasonal packages at the most pleasant prices. Available Monday to Thursday. | Best seasonal packages at the most pleasant prices. Available Monday to Thursday.,,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | hammam | fitness,,hilton@myoka.com?subject=I'd like to book an appointment | +35621370194,https://myoka.com/locations,Malta Marriott Resort & Spa,myoka_locations,https://myoka.com/locations,Malta Marriott Resort & Spa,True,False,False,marriott &,Malta Marriott Resort & Spa
Novotel Malta Sliema Spa,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | salt room,,+356 27802062 | carismawellness@gmail.com,https://www.carismaspa.com/carisma-spa-locations-in-malta,novotel malta sliema,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Novotel Malta Sliema Spa,True,False,False,novotel sliema,novotel malta sliema
"Portomaso, Saint Julian's, Malta","Biologique Recherche Face & Body Treatments Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Myoka Ltd. 40 Windsor Court Flat 2B, Windsor Terrace, Sliema SLM 1856 tel: +356 2157 2156 e-mail: info@myoka.com Mon - Fri: 9am - 5pm VAT MT15675310 Registration number: C23120 | Paul's Bay, Malta T: +356 2788 8408, E: salini@myoka.comMon - Sun: 9am - 7pm 66 Saint Paul's & Spa - by appointment only 66 St.",Start Week Escapes Best seasonal packages at the most pleasant prices. Available Monday to Thursday. | Best seasonal packages at the most pleasant prices. Available Monday to Thursday.,,,,,,,,,,,+356 2137 0194 | +356 2137 0163 | +356 23561191 | +356 2157 7500 | +356 2788 8408 | +356 2711 0933 | hilton@myoka.comMon | lotus@myoka.comMon | goldensands@myoka.comMon | doubletree@myoka.comMon | salini@myoka.comMon | sixtysix@myoka.comMon | +35621370194 | hilton@myoka.com | +35621370163,https://myoka.com/contact-us,"Portomaso, Saint Julian’s, Malta",myoka_contact,https://myoka.com/contact-us,"Portomaso, Saint Julian's, Malta",True,False,False,portomaso saint julian's,"Portomaso, Saint Julian’s, Malta"
"Qawra, St Pauls Bay","Biologique Recherche Face & Body Treatments Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Myoka Ltd. 40 Windsor Court Flat 2B, Windsor Terrace, Sliema SLM 1856 tel: +356 2157 2156 e-mail: info@myoka.com Mon - Fri: 9am - 5pm VAT MT15675310 Registration number: C23120 | Paul's Bay, Malta T: +356 2788 8408, E: salini@myoka.comMon - Sun: 9am - 7pm 66 Saint Paul's & Spa - by appointment only 66 St.",Start Week Escapes Best seasonal packages at the most pleasant prices. Available Monday to Thursday. | Best seasonal packages at the most pleasant prices. Available Monday to Thursday.,,,,,,,,,,,+356 2137 0194 | +356 2137 0163 | +356 23561191 | +356 2157 7500 | +356 2788 8408 | +356 2711 0933 | hilton@myoka.comMon | lotus@myoka.comMon | goldensands@myoka.comMon | doubletree@myoka.comMon | salini@myoka.comMon | sixtysix@myoka.comMon | +35621370194 | hilton@myoka.com | +35621370163,https://myoka.com/contact-us,"Qawra, St Pauls Bay",myoka_contact,https://myoka.com/contact-us,"Qawra, St Pauls Bay",True,False,False,qawra st pauls bay,"Qawra, St Pauls Bay"
"Radisson Blu Resort & Spa, Malta Golden Sands","Biologique Recherche Face & Body Treatments Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | 66 St. Paul's & Spa | PAYMENT All bookings must be prepaid at the time of making the reservation. All reservations are pre-charged to your credit or debit card. We accept cash, cheques and all major credit cards. | All bookings must be prepaid at the time of making the reservation. All reservations are pre-charged to your credit or debit card. We accept cash, cheques and all major credit cards.",Start Week Escapes Best seasonal packages at the most pleasant prices. Available Monday to Thursday. | Best seasonal packages at the most pleasant prices. Available Monday to Thursday.,,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | hammam | fitness,,hilton@myoka.com?subject=I'd like to book an appointment | +35621370194,https://myoka.com/locations,"Tucked along the golden sands of Malta’s iconic Golden Bay and surrounded by nature, this serene escape offers personalised treatments and luxury facilities.",myoka_locations,https://myoka.com/locations,"Radisson Blu Resort & Spa, Malta Golden Sands",True,False,False,radisson blu & golden sands,"Radisson Blu Resort & Spa, Golden Sands"
Ramla Bay Resort Spa,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | salt room,,+356 27802062 | carismawellness@gmail.com,https://www.carismaspa.com/carisma-spa-locations-in-malta,ramla bay resort - MELLIEĦA,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Ramla Bay Resort Spa,True,False,False,ramla bay,ramla bay resort - MELLIEĦA
Riviera Spa Resort,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | salt room,,+356 27802062 | carismawellness@gmail.com,https://www.carismaspa.com/carisma-spa-locations-in-malta,riviera spa resort - MELLIEĦA,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Riviera Spa Resort,True,False,False,riviera,riviera spa resort - MELLIEĦA
Salini Resort Spa,"Biologique Recherche Face & Body Treatments Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Myoka Ltd. 40 Windsor Court Flat 2B, Windsor Terrace, Sliema SLM 1856 tel: +356 2157 2156 e-mail: info@myoka.com Mon - Fri: 9am - 5pm VAT MT15675310 Registration number: C23120 | Paul's Bay, Malta T: +356 2788 8408, E: salini@myoka.comMon - Sun: 9am - 7pm 66 Saint Paul's & Spa - by appointment only 66 St.",Start Week Escapes Best seasonal packages at the most pleasant prices. Available Monday to Thursday. | Best seasonal packages at the most pleasant prices. Available Monday to Thursday.,,,,,,,,,,,+356 2137 0194 | +356 2137 0163 | +356 23561191 | +356 2157 7500 | +356 2788 8408 | +356 2711 0933 | hilton@myoka.comMon | lotus@myoka.comMon | goldensands@myoka.comMon | doubletree@myoka.comMon | salini@myoka.comMon | sixtysix@myoka.comMon | +35621370194 | hilton@myoka.com | +35621370163,https://myoka.com/contact-us,"St. Paul’s Bay, Malta",myoka_contact,https://myoka.com/contact-us,Salini Resort Spa,True,False,False,salini,"Salini Resort, Salina - by appointment only"
"St. Paul's Bay, Malta","Biologique Recherche Face & Body Treatments Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Myoka Ltd. 40 Windsor Court Flat 2B, Windsor Terrace, Sliema SLM 1856 tel: +356 2157 2156 e-mail: info@myoka.com Mon - Fri: 9am - 5pm VAT MT15675310 Registration number: C23120 | Paul's Bay, Malta T: +356 2788 8408, E: salini@myoka.comMon - Sun: 9am - 7pm 66 Saint Paul's & Spa - by appointment only 66 St.",Start Week Escapes Best seasonal packages at the most pleasant prices. Available Monday to Thursday. | Best seasonal packages at the most pleasant prices. Available Monday to Thursday.,,,,,,,,,,,+356 2137 0194 | +356 2137 0163 | +356 23561191 | +356 2157 7500 | +356 2788 8408 | +356 2711 0933 | hilton@myoka.comMon | lotus@myoka.comMon | goldensands@myoka.comMon | doubletree@myoka.comMon | salini@myoka.comMon | sixtysix@myoka.comMon | +35621370194 | hilton@myoka.com | +35621370163,https://myoka.com/contact-us,"St. Paul’s Bay, Malta",myoka_contact,https://myoka.com/contact-us,"St. Paul's Bay, Malta",True,False,False,st. paul's bay,"St. Paul’s Bay, Malta"
Triq Ir-Ramla,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | salt room,,+356 27802062 | carismawellness@gmail.com,https://www.carismaspa.com/carisma-spa-locations-in-malta,Il-Mellieħa,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Triq Ir-Ramla,True,False,False,triq ir-ramla,"Triq Ir-Ramla,"
carisma_locations,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | salt room,,+356 27802062 | carismawellness@gmail.com,https://www.carismaspa.com/carisma-spa-locations-in-malta,St Julian's,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,carisma_locations,True,False,False,carisma locations,St Julian's
