outlet_name_final,address_raw,opening_hours_raw,treatment_examples_raw,price_eur_min,price_eur_max,rating,review_count,treatment_room_count,hotel_room_count,facilities_raw,capacity_note_raw,contact_raw,matched_source_count,enrich_source_urls
InterContinental Malta,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | operating hours | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | massage room | salt room | cold plunge,,+356 27802062 | carismawellness@gmail.com,1,https://www.carismaspa.com/carisma-spa-locations-in-malta
Malta Marriott Resort & Spa,,,,,,,,,,,,,0,
Novotel Malta Sliema Spa,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | operating hours | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | massage room | salt room | cold plunge,,+356 27802062 | carismawellness@gmail.com,1,https://www.carismaspa.com/carisma-spa-locations-in-malta
"Portomaso, Saint Julian's, Malta","Biologique Recherche Face & Body Treatments Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Myoka Ltd. 40 Windsor Court Flat 2B, Windsor Terrace, Sliema SLM 1856 tel: +356 2157 2156 e-mail: info@myoka.com Mon - Fri: 9am - 5pm VAT MT15675310 Registration number: C23120 | Paul's Bay, Malta T: +356 2788 8408, E: salini@myoka.comMon - Sun: 9am - 7pm 66 Saint Paul's & Spa - by appointment only 66 St.",Start Week Escapes Best seasonal packages at the most pleasant prices. Available Monday to Thursday. | Best seasonal packages at the most pleasant prices. Available Monday to Thursday.,,,,,,,,,,+356 2137 0194 | +356 2137 0163 | +356 23561191 | +356 2157 7500 | +356 2788 8408 | +356 2711 0933 | hilton@myoka.comMon | lotus@myoka.comMon | goldensands@myoka.comMon | doubletree@myoka.comMon | salini@myoka.comMon | sixtysix@myoka.comMon | +35621370194 | hilton@myoka.com | +35621370163,1,https://myoka.com/contact-us
"Radisson Blu Resort & Spa, Malta Golden Sands","Biologique Recherche Face & Body Treatments Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | 66 St. Paul's & Spa | An ideal present, gift vouchers are available in exchange for any treatment, full or half-day programmes, exchangeable at any Myoka Spa. Gift vouchers are not refundable and must be presented at the time of booking. | PAYMENT All bookings must be prepaid at the time of making the reservation. All reservations are pre-charged to your credit or debit card. We accept cash, cheques and all major credit cards.",Start Week Escapes Best seasonal packages at the most pleasant prices. Available Monday to Thursday. | Best seasonal packages at the most pleasant prices. Available Monday to Thursday.,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | hammam | fitness,,hilton@myoka.com?subject=I'd like to book an appointment | +35621370194,1,https://myoka.com/locations
Ramla Bay Resort Spa,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | operating hours | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | massage room | salt room | cold plunge,,+356 27802062 | carismawellness@gmail.com,1,https://www.carismaspa.com/carisma-spa-locations-in-malta
Riviera Spa Resort,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | operating hours | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | massage room | salt room | cold plunge,,+356 27802062 | carismawellness@gmail.com,1,https://www.carismaspa.com/carisma-spa-locations-in-malta
Salini Resort Spa,"Biologique Recherche Face & Body Treatments Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Myoka Ltd. 40 Windsor Court Flat 2B, Windsor Terrace, Sliema SLM 1856 tel: +356 2157 2156 e-mail: info@myoka.com Mon - Fri: 9am - 5pm VAT MT15675310 Registration number: C23120 | Paul's Bay, Malta T: +356 2788 8408, E: salini@myoka.comMon - Sun: 9am - 7pm 66 Saint Paul's & Spa - by appointment only 66 St.",Start Week Escapes Best seasonal packages at the most pleasant prices. Available Monday to Thursday. | Best seasonal packages at the most pleasant prices. Available Monday to Thursday.,,,,,,,,,,+356 2137 0194 | +356 2137 0163 | +356 23561191 | +356 2157 7500 | +356 2788 8408 | +356 2711 0933 | hilton@myoka.comMon | lotus@myoka.comMon | goldensands@myoka.comMon | doubletree@myoka.comMon | salini@myoka.comMon | sixtysix@myoka.comMon | +35621370194 | hilton@myoka.com | +35621370163,1,https://myoka.com/contact-us
Triq Ir-Ramla,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | operating hours | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | massage room | salt room | cold plunge,,+356 27802062 | carismawellness@gmail.com,1,https://www.carismaspa.com/carisma-spa-locations-in-malta
carisma_locations,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | operating hours | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | massage room | salt room | cold plunge,,+356 27802062 | carismawellness@gmail.com,1,https://www.carismaspa.com/carisma-spa-locations-in-malta
