treatment_name,duration_raw,price_eur,raw_line,outlet_name,city_area,source_type,source_url,rating,review_count,duration_min
Price,50 min,240.0,€240,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,290.0,€290,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,50 min,115.0,€115,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,135.0,€135,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,50 min,125.0,€125,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,150.0,€150,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,50 min,145.0,€145,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,170.0,€170,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,50 min,145.0,€145,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,170.0,€170,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,50 min,115.0,€115,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,125.0,€125,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,50 min,50.0,€50,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,50 min,65.0,€65,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,20 min,45.0,€45,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,20.0
Price,20 min,45.0,€45,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,20.0
Price,40 min,55.0,€55,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,40.0
Price,60 min,70.0,€70,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,60.0
Price,40 min,45.0,€45,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,40.0
Price,60 min,55.0,€55,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,60.0
Price,60 min,65.0,€65,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,60.0
Price,60 min,65.0,€65,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,60.0
Price,60 min,70.0,€70,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,60.0
Price,45 min,55.0,€55,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,45.0
Price,30 min,35.0,€35,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,30.0
Price,20 min,30.0,€30,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,20.0
Price,30 min,55.0,€55,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,30.0
Price,30 min,35.0,€35,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,30.0
Price,15 min,20.0,€20,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,15.0
Price,10 min,20.0,€20,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,10.0
Price,10 min,20.0,€20,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,10.0
Price,20 min,20.0,€20,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,20.0
Price,20 min,50.0,€50,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,20.0
Price,45 min,85.0,€85,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,45.0
Price,45 min,85.0,€85,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,45.0
Price,20 min,50.0,€50,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,20.0
Price,45 min,75.0,€75,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,45.0
Price,45 min,65.0,€65,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,45.0
Price,120 min,500.0,€500,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,120.0
Price,120 min,225.0,€225,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,120.0
Price,120 min,235.0,€235,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,120.0
Price,120 min,350.0,€350,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,120.0
Price,50 min,90.0,€90,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,130.0,€130,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,110 min,185.0,€185,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,110.0
Price,50 min,70.0,€70,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,130.0,€130,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,110 min,185.0,€185,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,110.0
Price,50 min,85.0,€85,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,130.0,€130,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,110 min,185.0,€185,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,110.0
Price,50 min,75.0,€75,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,130.0,€130,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,1120 min,185.0,€185,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,1120.0
Price,50 min,85.0,€85,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,130.0,€130,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,110 min,185.0,€185,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,110.0
Price,30 min,75.0,€75,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,30.0
Price,50 min,249.0,€249,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,279.0,€279,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,50 min,129.0,€129,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,399.0,€399,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,50 min,189.0,€189,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,219.0,€219,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,120 min,40.0,€40,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,120.0
