outlet_name,zone_name,month_id,year,month_num,seasonality_factor,regime_factor,demand_index_0_100,yield_index_0_100,team_pressure_risk_0_100,expected_story_label,managerial_risk_hint
Central Malta Spa,Central Malta,2019-09,2019,9,1.22,1.0,74.0,76.0,44.2,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2019-10,2019,10,1.08,1.0,70.2,77.0,43.1,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2019-11,2019,11,0.95,1.0,66.6,76.0,42.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2019-12,2019,12,1.0,1.0,68.0,76.0,42.4,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2020-01,2020,1,0.86,0.42,27.0,68.0,16.1,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2020-02,2020,2,0.84,0.42,26.7,68.0,16.0,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2020-03,2020,3,0.92,0.42,27.6,69.0,16.3,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2020-04,2020,4,1.02,0.42,28.8,68.0,16.6,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2020-05,2020,5,1.1,0.42,29.7,68.0,16.9,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2020-06,2020,6,1.18,0.42,30.6,68.0,17.2,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2020-07,2020,7,1.3,0.42,32.0,68.0,17.6,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2020-08,2020,8,1.34,0.42,32.4,68.0,17.7,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2020-09,2020,9,1.22,0.42,31.1,68.0,17.3,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2020-10,2020,10,1.08,0.42,29.5,69.0,16.9,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2020-11,2020,11,0.95,0.42,28.0,68.0,16.4,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2020-12,2020,12,1.0,0.42,28.6,68.0,16.6,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2021-01,2021,1,0.86,0.58,37.2,71.0,23.2,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2021-02,2021,2,0.84,0.58,36.9,71.0,23.1,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2021-03,2021,3,0.92,0.58,38.2,72.0,23.5,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2021-04,2021,4,1.02,0.58,39.8,71.0,23.9,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2021-05,2021,5,1.1,0.58,41.0,71.0,24.3,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2021-06,2021,6,1.18,0.58,42.3,71.0,24.7,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2021-07,2021,7,1.3,0.58,44.2,71.0,25.3,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2021-08,2021,8,1.34,0.58,44.8,71.0,25.4,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2021-09,2021,9,1.22,0.58,42.9,71.0,24.9,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2021-10,2021,10,1.08,0.58,40.7,72.0,24.2,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2021-11,2021,11,0.95,0.58,38.7,71.0,23.6,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2021-12,2021,12,1.0,0.58,39.4,71.0,23.8,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2022-01,2022,1,0.86,0.78,50.1,74.0,33.0,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2022-02,2022,2,0.84,0.78,49.6,74.0,32.9,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2022-03,2022,3,0.92,0.78,51.3,75.0,33.4,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2022-04,2022,4,1.02,0.78,53.5,74.0,34.0,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2022-05,2022,5,1.1,0.78,55.2,74.0,34.6,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2022-06,2022,6,1.18,0.78,56.9,74.0,35.1,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2022-07,2022,7,1.3,0.78,59.4,74.0,35.8,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2022-08,2022,8,1.34,0.78,60.3,74.0,36.1,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2022-09,2022,9,1.22,0.78,57.7,74.0,35.3,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2022-10,2022,10,1.08,0.78,54.7,75.0,34.4,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2022-11,2022,11,0.95,0.78,52.0,74.0,33.6,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2022-12,2022,12,1.0,0.78,53.0,74.0,33.9,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2023-01,2023,1,0.86,0.92,59.1,77.0,39.7,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2023-02,2023,2,0.84,0.92,58.6,77.0,39.6,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2023-03,2023,3,0.92,0.92,60.6,78.0,40.2,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2023-04,2023,4,1.02,0.92,63.1,77.0,40.9,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2023-05,2023,5,1.1,0.92,65.1,77.0,41.5,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2023-06,2023,6,1.18,0.92,67.1,77.0,42.1,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2023-07,2023,7,1.3,0.92,70.1,77.0,43.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2023-08,2023,8,1.34,0.92,71.1,77.0,43.3,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2023-09,2023,9,1.22,0.92,68.1,77.0,42.4,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2023-10,2023,10,1.08,0.92,64.6,78.0,41.4,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2023-11,2023,11,0.95,0.92,61.3,77.0,40.4,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2023-12,2023,12,1.0,0.92,62.6,77.0,40.8,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2024-01,2024,1,0.86,1.02,65.5,79.0,43.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2024-02,2024,2,0.84,1.02,64.9,79.0,43.5,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2024-03,2024,3,0.92,1.02,67.1,80.0,44.1,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2024-04,2024,4,1.02,1.02,69.9,79.0,45.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2024-05,2024,5,1.1,1.02,72.1,79.0,45.6,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2024-06,2024,6,1.18,1.02,74.4,79.0,46.3,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2024-07,2024,7,1.3,1.02,77.7,79.0,47.3,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2024-08,2024,8,1.34,1.02,78.8,79.0,47.6,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2024-09,2024,9,1.22,1.02,75.5,79.0,46.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2024-10,2024,10,1.08,1.02,71.6,80.0,45.5,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2024-11,2024,11,0.95,1.02,68.0,79.0,44.4,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2024-12,2024,12,1.0,1.02,69.4,79.0,44.8,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2025-01,2025,1,0.86,1.08,69.3,81.0,46.8,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2025-02,2025,2,0.84,1.08,68.7,81.0,46.6,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2025-03,2025,3,0.92,1.08,71.1,82.0,47.3,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2025-04,2025,4,1.02,1.08,74.0,81.0,48.2,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2025-05,2025,5,1.1,1.08,76.4,81.0,48.9,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2025-06,2025,6,1.18,1.08,78.7,81.0,49.6,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2025-07,2025,7,1.3,1.08,82.3,81.0,50.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2025-08,2025,8,1.34,1.08,83.4,81.0,51.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2025-09,2025,9,1.22,1.08,79.9,81.0,50.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2025-10,2025,10,1.08,1.08,75.8,82.0,48.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2025-11,2025,11,0.95,1.08,72.0,81.0,47.6,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2025-12,2025,12,1.0,1.08,73.4,81.0,48.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2017-01,2017,1,0.86,0.92,46.1,84.0,32.1,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2017-02,2017,2,0.84,0.92,45.3,84.0,31.9,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2017-03,2017,3,0.92,0.92,48.4,84.0,32.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2017-04,2017,4,1.02,0.92,52.3,84.0,33.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2017-05,2017,5,1.1,0.92,55.4,88.0,34.5,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2017-06,2017,6,1.18,0.92,58.5,88.0,35.4,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2017-07,2017,7,1.3,0.92,63.1,84.0,36.6,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2017-08,2017,8,1.34,0.92,64.7,84.0,37.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2017-09,2017,9,1.22,0.92,60.0,88.0,35.8,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2017-10,2017,10,1.08,0.92,54.6,84.0,34.3,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2017-11,2017,11,0.95,0.92,49.6,84.0,33.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2017-12,2017,12,1.0,0.92,51.5,84.0,33.5,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2018-01,2018,1,0.86,0.96,48.1,85.0,33.6,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2018-02,2018,2,0.84,0.96,47.3,85.0,33.4,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2018-03,2018,3,0.92,0.96,50.5,85.0,34.3,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2018-04,2018,4,1.02,0.96,54.6,85.0,35.3,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2018-05,2018,5,1.1,0.96,57.8,89.0,36.2,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2018-06,2018,6,1.18,0.96,61.0,89.0,37.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2018-07,2018,7,1.3,0.96,65.9,85.0,38.3,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2018-08,2018,8,1.34,0.96,67.5,85.0,38.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2018-09,2018,9,1.22,0.96,62.6,89.0,37.4,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2018-10,2018,10,1.08,0.96,57.0,85.0,36.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2018-11,2018,11,0.95,0.96,51.7,85.0,34.6,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2018-12,2018,12,1.0,0.96,53.8,85.0,35.1,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2019-01,2019,1,0.86,1.0,50.1,86.0,35.2,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2019-02,2019,2,0.84,1.0,49.3,86.0,34.9,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2019-03,2019,3,0.92,1.0,52.6,86.0,35.8,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2019-04,2019,4,1.02,1.0,56.8,86.0,36.9,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2019-05,2019,5,1.1,1.0,60.2,90.0,37.8,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2019-06,2019,6,1.18,1.0,63.6,90.0,38.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2019-07,2019,7,1.3,1.0,68.6,86.0,40.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2019-08,2019,8,1.34,1.0,70.3,86.0,40.5,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2019-09,2019,9,1.22,1.0,65.2,90.0,39.1,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2019-10,2019,10,1.08,1.0,59.4,86.0,37.6,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2019-11,2019,11,0.95,1.0,53.9,86.0,36.1,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2019-12,2019,12,1.0,1.0,56.0,86.0,36.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2020-01,2020,1,0.86,0.42,21.1,78.0,13.5,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2020-02,2020,2,0.84,0.42,20.7,78.0,13.4,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2020-03,2020,3,0.92,0.42,22.1,78.0,13.8,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2020-04,2020,4,1.02,0.42,23.9,78.0,14.3,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2020-05,2020,5,1.1,0.42,25.3,82.0,14.6,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2020-06,2020,6,1.18,0.42,26.7,82.0,15.0,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2020-07,2020,7,1.3,0.42,28.8,78.0,15.6,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2020-08,2020,8,1.34,0.42,29.5,78.0,15.7,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2020-09,2020,9,1.22,0.42,27.4,82.0,15.2,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2020-10,2020,10,1.08,0.42,24.9,78.0,14.5,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2020-11,2020,11,0.95,0.42,22.6,78.0,13.9,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2020-12,2020,12,1.0,0.42,23.5,78.0,14.2,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2021-01,2021,1,0.86,0.58,29.1,81.0,19.6,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2021-02,2021,2,0.84,0.58,28.6,81.0,19.5,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2021-03,2021,3,0.92,0.58,30.5,81.0,20.0,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2021-04,2021,4,1.02,0.58,33.0,81.0,20.7,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2021-05,2021,5,1.1,0.58,34.9,85.0,21.2,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2021-06,2021,6,1.18,0.58,36.9,85.0,21.7,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2021-07,2021,7,1.3,0.58,39.8,81.0,22.4,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2021-08,2021,8,1.34,0.58,40.8,81.0,22.7,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2021-09,2021,9,1.22,0.58,37.8,85.0,21.9,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2021-10,2021,10,1.08,0.58,34.4,81.0,21.0,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2021-11,2021,11,0.95,0.58,31.3,81.0,20.2,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2021-12,2021,12,1.0,0.58,32.5,81.0,20.5,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2022-01,2022,1,0.86,0.78,39.1,84.0,28.3,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2022-02,2022,2,0.84,0.78,38.4,84.0,28.1,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2022-03,2022,3,0.92,0.78,41.1,84.0,28.8,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2022-04,2022,4,1.02,0.78,44.3,84.0,29.6,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2022-05,2022,5,1.1,0.78,47.0,88.0,30.3,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2022-06,2022,6,1.18,0.78,49.6,88.0,31.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2022-07,2022,7,1.3,0.78,53.5,84.0,32.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2022-08,2022,8,1.34,0.78,54.8,84.0,32.4,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2022-09,2022,9,1.22,0.78,50.9,88.0,31.4,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2022-10,2022,10,1.08,0.78,46.3,84.0,30.2,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2022-11,2022,11,0.95,0.78,42.0,84.0,29.0,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2022-12,2022,12,1.0,0.78,43.7,84.0,29.5,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2023-01,2023,1,0.86,0.92,46.1,87.0,34.1,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2023-02,2023,2,0.84,0.92,45.3,87.0,33.9,mixed / monitor,Monitor trend direction before major repositioning.
Gozo Spa,Gozo,2023-03,2023,3,0.92,0.92,48.4,87.0,34.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2023-04,2023,4,1.02,0.92,52.3,87.0,35.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2023-05,2023,5,1.1,0.92,55.4,91.0,36.5,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2023-06,2023,6,1.18,0.92,58.5,91.0,37.4,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2023-07,2023,7,1.3,0.92,63.1,87.0,38.6,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2023-08,2023,8,1.34,0.92,64.7,87.0,39.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2023-09,2023,9,1.22,0.92,60.0,91.0,37.8,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2023-10,2023,10,1.08,0.92,54.6,87.0,36.3,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2023-11,2023,11,0.95,0.92,49.6,87.0,35.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2023-12,2023,12,1.0,0.92,51.5,87.0,35.5,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2024-01,2024,1,0.86,1.02,51.1,89.0,37.4,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2024-02,2024,2,0.84,1.02,50.3,89.0,37.2,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Gozo Spa,Gozo,2024-03,2024,3,0.92,1.02,53.7,89.0,38.1,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
