outlet_name,therapist_id,therapist_name,queue_source,action_type,action_owner,action_scope,priority,action_title,action_rationale,recommended_action
Qawra / St Paul’s Bay Spa,QAW_TH_005,QAW_TH_005,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Qawra / St Paul’s Bay Spa,QAW_TH_006,QAW_TH_006,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Qawra / St Paul’s Bay Spa,QAW_TH_007,QAW_TH_007,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Qawra / St Paul’s Bay Spa,QAW_TH_008,QAW_TH_008,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Qawra / St Paul’s Bay Spa,QAW_TH_009,QAW_TH_009,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Qawra / St Paul’s Bay Spa,QAW_TH_010,QAW_TH_010,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Qawra / St Paul’s Bay Spa,QAW_TH_011,QAW_TH_011,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool sits above minimum safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails"
Sliema / Balluta Spa,SLI_TH_001,SLI_TH_001,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,SLI_TH_002,SLI_TH_002,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,SLI_TH_003,SLI_TH_003,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,SLI_TH_004,SLI_TH_004,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,SLI_TH_005,SLI_TH_005,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,SLI_TH_006,SLI_TH_006,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,SLI_TH_007,SLI_TH_007,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,SLI_TH_008,SLI_TH_008,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,SLI_TH_009,SLI_TH_009,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,SLI_TH_010,SLI_TH_010,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,SLI_TH_011,SLI_TH_011,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,SLI_TH_012,SLI_TH_012,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Sliema / Balluta Spa,SLI_TH_013,SLI_TH_013,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool fully aligned to revised safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails"
St Julian’s / Paceville Spa,STJ_TH_001,STJ_TH_001,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_002,STJ_TH_002,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_003,STJ_TH_003,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_004,STJ_TH_004,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_005,STJ_TH_005,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_006,STJ_TH_006,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_007,STJ_TH_007,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_008,STJ_TH_008,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_009,STJ_TH_009,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_010,STJ_TH_010,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_011,STJ_TH_011,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_012,STJ_TH_012,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_013,STJ_TH_013,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_014,STJ_TH_014,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_015,STJ_TH_015,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
St Julian’s / Paceville Spa,STJ_TH_016,STJ_TH_016,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Valletta Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool sits above minimum safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails"
Valletta Spa,VAL_TH_001,VAL_TH_001,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Valletta Spa,VAL_TH_002,VAL_TH_002,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Valletta Spa,VAL_TH_003,VAL_TH_003,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Valletta Spa,VAL_TH_004,VAL_TH_004,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Valletta Spa,VAL_TH_005,VAL_TH_005,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Valletta Spa,VAL_TH_006,VAL_TH_006,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Valletta Spa,VAL_TH_007,VAL_TH_007,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Valletta Spa,VAL_TH_008,VAL_TH_008,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Valletta Spa,VAL_TH_009,VAL_TH_009,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Valletta Spa,VAL_TH_010,VAL_TH_010,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
