management_signal_id,outlet_id,outlet_name,market_context,period_type,period_start,period_end,year,month,month_id,market_regime,regime_label,event_flag,market_note,period_regime_impact_note,managerial_interpretation,profitability_pressure_flag,overall_management_signal_score_0_100,overall_management_signal_band,primary_management_priority,secondary_management_priority,total_revenue_eur,utilization_percent,yield_eur_per_sold_hour,revpath_eur_per_available_hour,avg_treatment_health_score,avg_therapist_consistency_score,high_priority_conflict_count,burnout_risk_case_count,leakage_risk_case_count,manager_action_1,manager_action_2,manager_action_3,outlet_rank_within_period,managerial_focus_area,management_status_note,storyline_note,review_escalation_flag,executive_watchlist_flag,score_confidence_level,status
MSL_00011,MLT_OUTLET_001,Valletta,Malta,monthly,2017-11-01,2017-11-30,2017,11,2017-11,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,67.98,watchlist,team_sustainability,yield_optimization,26455.45,57.711,67.376,38.877,72.36,71.82,10,10,0,rebalance roster and protect therapist recovery,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,3.0,Team sustainability and staffing control,Outlet needs focused intervention on priority KPI signals.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00012,MLT_OUTLET_001,Valletta,Malta,monthly,2017-12-01,2017-12-31,2017,12,2017-12,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,78.43,stable,commercial_growth,yield_optimization,30125.44,60.970000000000006,67.053,40.811,73.022,71.825,6,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00013,MLT_OUTLET_001,Valletta,Malta,monthly,2018-01-01,2018-01-31,2018,1,2018-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.16,stable,commercial_growth,yield_optimization,26173.06,57.4,67.429,38.682,72.453,71.84,5,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00014,MLT_OUTLET_001,Valletta,Malta,monthly,2018-02-01,2018-02-28,2018,2,2018-02,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.37,stable,commercial_growth,yield_optimization,27120.77,58.04,68.023,39.499,72.762,72.485,5,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,1.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00015,MLT_OUTLET_001,Valletta,Malta,monthly,2018-03-01,2018-03-31,2018,3,2018-03,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,68.24,watchlist,team_sustainability,yield_optimization,28136.52,59.081,67.88300000000001,40.055,73.12899999999999,71.83500000000001,10,10,0,rebalance roster and protect therapist recovery,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,3.0,Team sustainability and staffing control,Outlet needs focused intervention on priority KPI signals.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00016,MLT_OUTLET_001,Valletta,Malta,monthly,2018-04-01,2018-04-30,2018,4,2018-04,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.07,stable,commercial_growth,yield_optimization,28431.02,59.476,67.446,40.052,72.60900000000001,71.995,6,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,3.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00017,MLT_OUTLET_001,Valletta,Malta,monthly,2018-05-01,2018-05-31,2018,5,2018-05,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,76.62,stable,commercial_growth,yield_optimization,29339.25,60.196000000000005,67.5,40.58,72.801,72.91,6,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,3.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00018,MLT_OUTLET_001,Valletta,Malta,monthly,2018-06-01,2018-06-30,2018,6,2018-06,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,78.77,stable,commercial_growth,yield_optimization,30516.3,61.012,67.607,41.229,73.12899999999999,74.19,6,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,1.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00019,MLT_OUTLET_001,Valletta,Malta,monthly,2018-07-01,2018-07-31,2018,7,2018-07,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,78.56,stable,commercial_growth,yield_optimization,32614.66,62.039,69.187,42.889,73.616,73.5,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00020,MLT_OUTLET_001,Valletta,Malta,monthly,2018-08-01,2018-08-31,2018,8,2018-08,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,78.5,stable,commercial_growth,yield_optimization,32891.74,62.766,67.828,42.512,73.213,73.74,5,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,1.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00021,MLT_OUTLET_001,Valletta,Malta,monthly,2018-09-01,2018-09-30,2018,9,2018-09,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.41,stable,commercial_growth,yield_optimization,30231.19,60.63199999999999,68.212,41.306,73.05,72.94,5,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,3.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00022,MLT_OUTLET_001,Valletta,Malta,monthly,2018-10-01,2018-10-31,2018,10,2018-10,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,78.31,stable,commercial_growth,yield_optimization,28609.15,59.684000000000005,67.25899999999999,40.065,72.87100000000001,73.005,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,1.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00023,MLT_OUTLET_001,Valletta,Malta,monthly,2018-11-01,2018-11-30,2018,11,2018-11,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.77,stable,commercial_growth,yield_optimization,27639.04,58.527,68.025,39.785,72.795,73.485,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00024,MLT_OUTLET_001,Valletta,Malta,monthly,2018-12-01,2018-12-31,2018,12,2018-12,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.35,stable,commercial_growth,yield_optimization,31942.41,61.636,68.966,42.487,73.739,72.99000000000001,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00025,MLT_OUTLET_001,Valletta,Malta,monthly,2019-01-01,2019-01-31,2019,1,2019-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.05,stable,commercial_growth,yield_optimization,26869.54,58.04,67.661,39.213,72.572,72.69,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00026,MLT_OUTLET_001,Valletta,Malta,monthly,2019-02-01,2019-02-28,2019,2,2019-02,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.58,stable,commercial_growth,yield_optimization,27297.28,58.571000000000005,67.115,39.258,72.32000000000001,73.38499999999999,5,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00027,MLT_OUTLET_001,Valletta,Malta,monthly,2019-03-01,2019-03-31,2019,3,2019-03,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,78.02,stable,commercial_growth,yield_optimization,29005.17,59.684000000000005,67.963,40.551,72.978,73.35499999999999,5,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00028,MLT_OUTLET_001,Valletta,Malta,monthly,2019-04-01,2019-04-30,2019,4,2019-04,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,76.73,stable,commercial_growth,yield_optimization,29671.42,60.196000000000005,68.30699999999999,41.056,73.033,72.545,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00029,MLT_OUTLET_001,Valletta,Malta,monthly,2019-05-01,2019-05-31,2019,5,2019-05,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.85,stable,commercial_growth,yield_optimization,30183.21,60.63199999999999,67.99100000000001,41.204,73.11800000000001,73.445,5,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,3.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00030,MLT_OUTLET_001,Valletta,Malta,monthly,2019-06-01,2019-06-30,2019,6,2019-06,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.28,stable,commercial_growth,yield_optimization,31453.01,61.636,67.923,41.837,73.193,72.67,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,3.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00031,MLT_OUTLET_001,Valletta,Malta,monthly,2019-07-01,2019-07-31,2019,7,2019-07,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.57,stable,commercial_growth,yield_optimization,33067.14,62.804,68.14,42.709,73.583,73.845,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00032,MLT_OUTLET_001,Valletta,Malta,monthly,2019-08-01,2019-08-31,2019,8,2019-08,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,79.15,stable,commercial_growth,yield_optimization,33673.84,63.371,67.58099999999999,42.79,73.607,73.06,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,1.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00033,MLT_OUTLET_001,Valletta,Malta,monthly,2019-09-01,2019-09-30,2019,9,2019-09,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.03,stable,commercial_growth,yield_optimization,31427.06,61.55,68.126,41.914,73.261,72.595,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,3.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00034,MLT_OUTLET_001,Valletta,Malta,monthly,2019-10-01,2019-10-31,2019,10,2019-10,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,78.31,stable,commercial_growth,yield_optimization,29674.26,60.262,68.06,40.974,72.96900000000001,72.92,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,1.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00035,MLT_OUTLET_001,Valletta,Malta,monthly,2019-11-01,2019-11-30,2019,11,2019-11,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.14,stable,commercial_growth,yield_optimization,28380.47,59.179,67.90700000000001,40.196,72.36699999999999,73.66499999999999,6,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00036,MLT_OUTLET_001,Valletta,Malta,monthly,2019-12-01,2019-12-31,2019,12,2019-12,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.51,stable,commercial_growth,yield_optimization,32332.89,62.41,67.62,42.18,73.489,72.545,5,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,3.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00037,MLT_OUTLET_001,Valletta,Malta,monthly,2020-01-01,2020-01-31,2020,1,2020-01,pre_shock_softening,Pre-Shock Softening,early_risk_signal,Early market softening before the full COVID disruption.,Softening phase: monitor conversion and protect booking quality before demand shock deepens.,Use caution in pricing and preserve customer retention.,yes,75.53,stable,commercial_growth,yield_optimization,24059.03,55.132000000000005,68.39500000000001,37.633,71.67699999999999,73.125,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,3.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,"Demand recovery may not fully translate into profit recovery due to cost pressure, value sensitivity, or team strain.",yes,no,low,scaffold_generated
MSL_00038,MLT_OUTLET_001,Valletta,Malta,monthly,2020-02-01,2020-02-29,2020,2,2020-02,pre_shock_softening,Pre-Shock Softening,early_risk_signal,Early market softening before the full COVID disruption.,Softening phase: monitor conversion and protect booking quality before demand shock deepens.,Use caution in pricing and preserve customer retention.,yes,76.65,stable,commercial_growth,yield_optimization,24623.36,55.693000000000005,68.291,37.972,72.35,72.775,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,"Demand recovery may not fully translate into profit recovery due to cost pressure, value sensitivity, or team strain.",yes,no,low,scaffold_generated
